Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Klax (Japan).gb,KLAX,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Hudsonsoft,True,None,False,0,Japan,False
Dig Dug (Europe).gb,DIG DUG,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Namco,True,None,False,0,Non-Japan (0x1),False
Pyramids of Ra (USA).gb,PYRAMIDS OF RA,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Matchbox,True,None,False,0,Non-Japan (0x1),False
"TOCA Touring Car Championship (USA, Europe).gbc",TOCABTCE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Pocket Golf (Japan).gb,POCKET GOLF     ,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,"UNKNOWN(b'9H',9H)",False,None,False,0,Japan,True
Bomber Man Collection (Japan) (SGB Enhanced).gb,BOMCOL,MBC1,MBC1,64,0,0x0,0x100000,False,False,False,False,Hudson Soft,False,None,True,0,Japan,False
"Alien 3 (USA, Europe).gb",ALIEN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,LJN,True,None,False,0,Non-Japan (0x1),False
Dr. Franken (USA).gb,DR FRANKEN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Kemco,True,None,False,0,Non-Japan (0x1),False
Chibi Maruko-chan 2 - Deluxe Maruko World (Japan).gb,CHIBIMARUKO2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Takara,True,None,False,0,Japan,False
Tonka Construction Site (USA).gbc,TONKA SITEBCZE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'6S',6S)",False,CGB Only,False,0,Non-Japan (0x1),True
Spud's Adventure (USA).gb,SPUDS ADVENTURE,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Atlus,True,None,False,0,Non-Japan (0x1),False
