Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Goukaku Boy Series - Shikakui Atama o Maruku Suru - Kokugo Battle Hen (Japan) (Special Edition).gb,SIKAKKOKUGOBF3J,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Snow Bros. Jr. (Japan).gb,DMG-SJJ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Pocket Love (Japan) (SGB Enhanced).gb,POCKET LOVE,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Bomber Boy (Japan).gb,BOMBER BOY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Super Hunchback (Japan).gb,SUPER HUNCHBACK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Doraemon no Game Boy de Asobouyo Deluxe 10 (Japan) (SGB Enhanced).gb,DORAEMONDX10,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,Yes,0,Japan
Ferrari (Japan).gb,FERRARI G-PRIX,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Daikaijuu Monogatari - The Miracle of the Zone (Japan) (SGB Enhanced).gb,MIRACLE OF ZONE,HuC1+RAM+BATTERY,HuC1,32,4,0x4000,0x80000,None,Yes,0,Japan
Goukaku Boy GOLD - Shikakui Atama o Maruku Suru - Kanji no Tatsujin (Japan) (Special Edition).gb,SIKAKUKANJIBK4J,MBC5+RAM+BATTERY,MBC5,64,1,0x800,0x100000,None,No,0,Japan
Pocket Mahjong (Japan).gb,POCKET MAHJAN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Janshirou II - Sekai Saikyou no Janshi (Japan).gb,JANSHIRO2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Yoshi no Cookie (Japan).gb,YOSSY NO COOKIE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
